ds,yhat,yhat_lower,yhat_upper
2017-04-25,106.30037544750618,49.96556303836159,172.37763206496075
2017-04-26,103.97730312136724,47.23423914843849,165.54028991926214
2017-04-27,98.78588491661496,35.90903868820063,158.29403484362953
2017-04-28,96.52798950968622,33.31457504182497,161.0626966681479
2017-04-29,61.95042743479678,-0.04794041290422171,122.13128429478878
2017-04-30,74.44558880272537,7.15977595711799,135.52929075228087
2017-05-01,118.44549875014314,57.30119609571833,177.62086552945206
2017-05-02,118.6108444789397,55.12558288389255,178.0723843191146
2017-05-03,115.87519277169058,53.40320819954754,174.1164021578998
2017-05-04,110.32085097633963,49.73552035284619,174.96208294162696
2017-05-05,107.76239300042847,44.28281107259296,166.80500790349214
2017-05-06,72.9548238332589,11.736204554822677,130.8104705502694
2017-05-07,85.29395472130287,21.164181639475476,150.07523969883286
2017-05-08,129.21037123091202,72.5517956297212,194.8581552043674
2017-05-09,129.35855023659238,65.14397460353139,192.38249860881888
2017-05-10,126.6613414592518,66.72471230558259,188.62392248009886
2017-05-11,121.18625724577132,57.845480782130835,180.3701435039208
2017-05-12,118.72957753603768,60.055336428615206,178.15999888030424
2017-05-13,84.02522398288382,21.132044005769135,143.09425816628644
2017-05-14,96.44595149757984,34.1177920191616,154.8846016889465
2017-05-15,140.39821207697992,77.29378359245274,201.18234030359378
2017-05-16,140.5122169127057,78.8542093035012,201.20381546830725
2017-05-17,137.68738080730256,83.21469632086446,202.0401005865768
2017-05-18,131.96956005783105,71.74468152532444,195.3271488980429
2017-05-19,129.13605898143842,67.98229346549603,192.25204527557952
2017-05-20,93.90532841236701,32.46134811380029,155.4265863625827
2017-05-21,105.63887631589293,43.964863038575736,166.23982322459173
2017-05-22,148.7367205335073,81.76846045806464,206.85428661135688
2017-05-23,147.82788893963937,83.28855083773078,208.7110024445626
2017-05-24,143.81613498105258,81.533857285838,206.08658507268458
2017-05-25,136.75726927857608,75.93849799325365,197.24355428788985
2017-05-26,132.44407726532097,71.20666709316315,194.54957562656065
